player,player_norm,team,goals_total,xg_total,shots_total,shots_on_target_pct,league_difficulty,minutes,goals_per90,xg_per90,npxg_per90,shots_per90
J. Burkardt,j burkardt,Germany,17.999999999999996,0.0,59.0,0.0,1.0,2120.0,0.7641509433962262,0.0,0.0,2.5047169811320753
J. Clauss,j clauss,France,3.0,0.0,18.0,0.0,1.0,2311.0,0.11683254002596279,0.0,0.0,0.7009952401557767
J. Corona,j corona,Mexico,1.9999999999999998,0.0,20.999999999999996,0.0,0.54,1670.0,0.10778443113772453,0.0,0.0,1.1317365269461075
J. David,j david,Canada,16.0,0.0,57.0,0.0,1.0,2558.0,0.5629397967161845,0.0,0.0,2.0054730258014075
J. Gallardo,j gallardo,Mexico,7.0,0.0,28.0,0.0,0.54,3261.0,0.19319227230910763,0.0,0.0,0.7727690892364305
J. Herrera,j herrera,Argentina,12.0,0.0,55.0,0.0,0.7,3144.0,0.3435114503816794,0.0,0.0,1.5744274809160306
J. Kimmich,j kimmich,Germany,3.0,0.0,21.0,0.0,1.0,2847.0,0.09483667017913594,0.0,0.0,0.6638566912539515
J. Kluivert,j kluivert,Netherlands,12.0,0.0,52.0,0.0,1.0,2356.0,0.45840407470288624,0.0,0.0,1.9864176570458405
J. López,j lopez,Argentina,10.000000000000002,0.0,58.0,0.0,0.74,2146.0,0.4193849021435229,0.0,0.0,2.4324324324324325
J. Maddison,j maddison,England,9.0,0.0,28.0,0.0,1.0,1817.0,0.445789763346175,0.0,0.0,1.3869014859658777
J. Mateta,j mateta,France,14.0,0.0,53.0,0.0,1.0,2658.0,0.47404063205417607,0.0,0.0,1.7945823927765236
J. Morris,j morris,United States,13.999999999999998,0.0,50.99999999999999,0.0,0.52,3062.0,0.411495754408883,0.0,0.0,1.499020248203788
J. Murphy,j murphy,England,15.737463126843659,0.0,93.58610517749975,0.0,0.8108041237113403,5820.0,0.24336283185840707,0.0,0.0,1.447207812023192
J. Musiala,j musiala,Germany,12.0,0.0,51.0,0.0,1.0,1804.0,0.5986696230598669,0.0,0.0,2.5443458980044347
J. Paintsil,j paintsil,Ghana,12.999999999999998,0.0,65.0,0.0,0.52,2529.0,0.46263345195729527,0.0,0.0,2.3131672597864767
J. Paradela,j paradela,Argentina,22.0,0.0,136.0,0.0,0.54,5962.0,0.33210332103321033,0.0,0.0,2.0530023482053004
J. Piroe,j piroe,Netherlands,37.99999999999999,0.0,142.0,0.0,0.68,6186.0,0.5528612997090202,0.0,0.0,2.0659553831231814
J. Quintero,j quintero,Colombia,5.000000000000001,0.0,25.000000000000004,0.0,0.7,1605.0,0.280373831775701,0.0,0.0,1.401869158878505
J. Quiñones,j quinones,Colombia,19.999999999999996,0.0,97.99999999999999,0.0,0.35,2442.0,0.737100737100737,0.0,0.0,3.6117936117936114
J. Rodríguez,j rodriguez,Uruguay,16.0,0.0,64.0,0.0,0.52,2517.0,0.5721096543504172,0.0,0.0,2.2884386174016687
J. Rudoni,j rudoni,England,9.999999999999998,0.0,56.0,0.0,0.68,3720.0,0.2419354838709677,0.0,0.0,1.3548387096774193
