player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,assists_total,xa_total,key_passes_total,progressive_passes_total,pass_completion_pct,minutes,xa_per90,key_passes_per90,progressive_passes_per90,playmaker_score,year
Ismaël Gharbi,Tunisia,ismael gharbi,2,1.35,1,0,2,2025-12-30,49,1.0,0.04081632653061224,,,,,78.0,,0.2025,0.5062500000000001,0.405,0.1467551076107299,2026
Oumar Diakité,Ivory Coast,oumar diakite,2,1.35,0,0,2,2025-10-10,47,1.0,0.0425531914893617,,,,,78.0,,0.2025,0.5062500000000001,0.405,0.1467551076107299,2026
Firas Chaouat,Tunisia,firas chaouat,2,1.35,0,0,2,2026-01-03,49,1.0,0.04081632653061224,,,,,78.0,,0.2025,0.5062500000000001,0.405,0.1467551076107299,2026
Ali Abdi,Tunisia,ali abdi,2,1.35,2,0,2,2025-12-27,49,1.0,0.04081632653061224,,,,,78.0,,0.2025,0.5062500000000001,0.405,0.1467551076107299,2026
Sebastian Nanasi,Sweden,sebastian nanasi,2,1.2,0,0,1,2024-10-14,40,2.0,0.05,,,,,78.0,,0.18,0.44999999999999996,0.36,0.14081604803493453,2026
Francisco Trincão,Portugal,francisco trincao,2,1.2,0,0,1,2025-03-23,43,2.0,0.046511627906976744,,,,,78.0,,0.18,0.44999999999999996,0.36,0.14081604803493453,2026
Jack Grealish,England,jack grealish,2,1.2,0,0,2,2024-10-13,44,1.0,0.045454545454545456,,,,,78.0,,0.18,0.44999999999999996,0.36,0.14081604803493453,2026
Hwang In-beom,South Korea,hwang inbeom,1,1.0,0,1,1,2024-01-15,44,1.0,0.022727272727272728,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Jassem Gaber,Qatar,jassem gaber,1,1.0,0,1,1,2024-02-07,53,1.0,0.018867924528301886,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Ibrahim Maza,Algeria,ibrahim maza,2,1.0,0,0,2,2025-12-31,52,1.0,0.038461538461538464,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Teboho Mokoena,South Africa,teboho mokoena,2,1.0,1,0,2,2024-02-07,52,1.0,0.038461538461538464,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Tani Oluwaseyi,Canada,tani oluwaseyi,1,1.0,0,1,1,2025-06-17,46,1.0,0.021739130434782608,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Brenden Aaronson,United States,brenden aaronson,1,1.0,0,1,1,2025-06-15,57,1.0,0.017543859649122806,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
