player,team,minutes,goals,assists,def_actions,key_passes,carries,duels_total,duels_won,duel_win_rate,goals_assists_per90,def_per90,creation_per90,pot_score,year
Young-Gwon Kim,South Korea,306.0,1.0,0.0,27.0,0.0,165.0,6.0,0.0,0.0,0.29411764705882354,7.9411764705882355,4.852941176470589,0.23562714871062096,2022
Mohammed Khalil Al Owais,Saudi Arabia,121.0,0.0,0.0,1.0,0.0,31.0,,,0.5,0.0,0.743801652892562,2.3057851239669422,0.23521655929642676,2022
Assim Omer Al Haj Madibo,Qatar,132.0,0.0,0.0,60.0,0.0,51.0,8.0,0.0,0.0,0.0,40.909090909090914,3.477272727272728,0.2349607881996546,2022
Andreas Christensen,Denmark,377.5,1.0,0.0,25.0,0.0,217.0,8.0,0.0,0.0,0.23841059602649006,5.960264900662251,5.1735099337748345,0.23447055960368018,2022
Lawrence Ati-Zigi,Ghana,92.5,0.0,0.0,0.0,0.0,24.0,,,0.5,0.0,0.0,2.3351351351351357,0.2342859427474812,2022
Lucas Tolentino Coelho de Lima,Brazil,338.5,1.0,0.0,73.0,0.0,152.0,12.0,0.0,0.0,0.2658788774002954,19.409158050221567,4.041358936484491,0.2332500631369181,2022
İlkay Gündoğan,Germany,258.0,1.0,0.0,27.0,0.0,128.0,8.0,0.0,0.0,0.3488372093023256,9.418604651162791,4.465116279069767,0.23287744526446152,2022
Iliman Ndiaye,Senegal,95.0,0.0,0.0,31.0,0.0,45.0,3.0,0.0,0.0,0.0,29.36842105263158,4.263157894736842,0.23245070399449255,2022
Mitchell Thomas Duke,Australia,189.0,1.0,0.0,77.0,0.0,41.0,16.0,0.0,0.0,0.47619047619047616,36.666666666666664,1.9523809523809526,0.23206203378268153,2022
Sebastian Szymański,Poland,93.0,0.0,0.0,45.0,0.0,33.0,7.0,0.0,0.0,0.0,43.54838709677419,3.193548387096774,0.23178112536542728,2022
Youssouf Fofana,France,209.0,0.0,0.0,77.0,0.0,92.0,9.0,0.0,0.0,0.0,33.1578947368421,3.9617224880382778,0.23170899524511285,2022
Mikkel Damsgaard,Denmark,134.0,0.0,0.0,38.0,0.0,67.0,5.0,0.0,0.0,0.0,25.52238805970149,4.5,0.23070961759251074,2022
Kalidou Koulibaly,Senegal,307.5,1.0,0.0,53.0,0.0,141.0,13.0,0.0,0.0,0.29268292682926833,15.51219512195122,4.126829268292684,0.22948287517755278,2022
Jude Bellingham,England,485.0,1.0,0.0,99.0,0.0,232.0,25.0,0.0,0.0,0.18556701030927833,18.371134020618555,4.3051546391752575,0.22928626467651464,2022
Theo Bernard François Hernández,France,520.0,1.0,0.0,101.0,0.0,255.0,25.0,0.0,0.0,0.17307692307692307,17.48076923076923,4.413461538461538,0.22914810567041177,2022
Romain Saïss,Morocco,290.0,1.0,0.0,53.0,0.0,128.0,12.0,0.0,0.0,0.3103448275862069,16.448275862068964,3.972413793103448,0.22876864549662257,2022
Trent Alexander-Arnold,England,90.0,0.0,0.0,5.0,0.0,18.0,,,0.5,0.0,5.0,1.8,0.22834760718363956,2022
Daniel Olmo Carvajal,Spain,399.5,1.0,0.0,59.0,0.0,200.0,10.0,0.0,0.0,0.2252816020025031,13.291614518147684,4.505632040050062,0.22822776758085564,2022
Jae-Sung Lee,South Korea,190.5,0.0,0.0,79.0,0.0,75.0,13.0,0.0,0.0,0.0,37.32283464566929,3.543307086614173,0.22774946848554548,2022
