player,team,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,intl_goal_rate,team_intl_matches,intl_goals_per_team_match,player_norm,xa_per90,key_passes_per90,progressive_passes_per90,pass_completion_pct,playmaker_score,year
Kai Havertz,Germany,4,3.2,3,2,4,2024-11-16,1.0,42,0.09523809523809523,kai havertz,0.48,1.2,0.96,78.0,0.15848214285714285,2026
Habib Diallo,Senegal,5,3.2,0,0,5,2025-12-30,1.0,47,0.10638297872340426,habib diallo,0.48,1.2,0.96,78.0,0.15848214285714285,2026
Fabián Ruiz,Spain,4,3.2,0,2,3,2024-09-08,1.3333333333333333,43,0.09302325581395349,fabian ruiz,0.48,1.2,0.96,78.0,0.15848214285714285,2026
Kenan Yıldız,Türkiye,4,3.15,0,0,3,2025-10-14,1.3333333333333333,41,0.0975609756097561,kenan yldz,0.4725,1.18125,0.945,78.0,0.1564732142857143,2026
Leandro Trossard,Belgium,4,3.15,0,0,4,2025-10-13,1.0,40,0.1,leandro trossard,0.4725,1.18125,0.945,78.0,0.1564732142857143,2026
Ante Budimir,Croatia,4,3.15,1,0,4,2025-06-09,1.0,39,0.10256410256410256,ante budimir,0.4725,1.18125,0.945,78.0,0.1564732142857143,2026
Mario Pašalić,Croatia,4,3.15,0,0,4,2025-06-06,1.0,39,0.10256410256410256,mario pasalic,0.4725,1.18125,0.945,78.0,0.1564732142857143,2026
Luka Modrić,Croatia,4,3.05,2,1,4,2025-06-09,1.0,39,0.10256410256410256,luka modric,0.45749999999999996,1.1437499999999998,0.9149999999999999,78.0,0.15245535714285713,2026
Ismael Saibari,Morocco,4,3.05,0,0,3,2026-01-09,1.3333333333333333,53,0.07547169811320754,ismael saibari,0.45749999999999996,1.1437499999999998,0.9149999999999999,78.0,0.15245535714285713,2026
Hakan Çalhanoğlu,Türkiye,4,3.05,3,1,4,2025-11-15,1.0,41,0.0975609756097561,hakan calhanoglu,0.45749999999999996,1.1437499999999998,0.9149999999999999,78.0,0.15245535714285713,2026
Cédric Bakambu,Congo DR,4,3.05,0,0,3,2025-12-27,1.3333333333333333,47,0.0851063829787234,cedric bakambu,0.45749999999999996,1.1437499999999998,0.9149999999999999,78.0,0.15245535714285713,2026
Ismaïla Sarr,Senegal,4,3.05,0,0,3,2025-10-10,1.3333333333333333,47,0.0851063829787234,ismaila sarr,0.45749999999999996,1.1437499999999998,0.9149999999999999,78.0,0.15245535714285713,2026
