player,team,intl_goals,attack_score,player_norm,playmaker_score,group,p_qualify,team_win_prob,progression_factor,expected_tournament_matches,group_difficulty,last5_win_rate,pot_score,goals,assists,year
James Rodríguez,Colombia,4,0.0622483129115823,james rodriguez,0.18951965065502185,K,0.9,0.0129,0.522522265762005,4.32737,0.9226621917351155,0.4,0.07298715404161184,4,0,2026
Francisco Conceição,Portugal,3,0.05841950785045339,francisco conceicao,0.1462882096069869,K,0.9609,0.0647,0.6586117044411798,4.8829899999999995,0.8732848752250852,0.4,0.0726468904606699,3,0,2026
John McGinn,Scotland,5,0.06589275675586892,john mcginn,0.19737991266375549,C,0.8598,0.0001,0.46723844558592176,4.04449,1.0674143351914183,0.4,0.07248318507027475,5,0,2026
Matheus Cunha,Brazil,1,0.1131065264963512,matheus cunha,0.05,C,0.9973,0.0613,0.6735325361218968,4.94313,0.8591734339075576,0.4,0.07204751806318463,1,0,2026
Rayan Cherki,France,1,0.08061588975886076,rayan cherki,0.07358078602620088,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.07015235480860572,1,0,2026
Serge Gnabry,Germany,3,0.05308799344578238,serge gnabry,0.1502183406113537,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.06942344361113902,3,0,2026
Luis Suárez,Uruguay,1,0.1260543652757208,luis suarez,0.08930131004366812,H,0.9565,0.0092,0.5156058125735339,4.2684,0.930365535612178,0.2,0.06937878399259634,1,0,2026
Luis Suárez,Colombia,4,0.05667668598402628,luis suarez,0.18362445414847162,K,0.9,0.0129,0.522522265762005,4.32737,0.9226621917351155,0.4,0.06902262236223693,4,0,2026
Luka Modrić,Croatia,4,0.0626164913682317,luka modric,0.16986899563318777,L,0.9235,0.0201,0.5201321511062831,4.31269,0.9163104686263878,0.2,0.06886047207647791,4,0,2026
Antoine Griezmann,France,1,0.07451177272919028,antoine griezmann,0.08340611353711791,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.06852345461727104,1,0,2026
Arda Güler,Türkiye,5,0.06429477395746339,arda guler,0.20327510917030572,D,0.7702,0.0013,0.4369215627223124,4.09421,0.9872809667046556,0.4,0.06811827823685664,5,0,2026
Noa Lang,Netherlands,2,0.08998901934528346,noa lang,0.10698689956331879,F,0.9947,0.0178,0.5850760674151427,4.80814,0.8834891107854264,0.2,0.0679221706672862,2,0,2026
Mario Pašalić,Croatia,4,0.05894538006957531,mario pasalic,0.1737991266375546,L,0.9235,0.0201,0.5201321511062831,4.31269,0.9163104686263878,0.2,0.06784086993194198,4,0,2026
Gavi,Spain,2,0.04477139983483246,gavi,0.11681222707423582,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.0677265595798164,2,0,2026
César Montes,Mexico,3,0.05684330026810144,cesar montes,0.1679039301310044,A,0.974,0.0058,0.5766691311626395,4.7517,0.8939859040304675,0.4,0.06759214354159887,3,0,2026
Dodi Lukebakio,Belgium,2,0.07990415652117541,dodi lukebakio,0.11681222707423582,G,0.9909,0.0233,0.612166188204343,4.82629,0.852835047601555,0.4,0.0675393701507087,2,0,2026
